"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Tambah Peta Rincik: As a user, I can add peta rincik if there's already previous file","","0","1","2","4","0"
"","Tambah Daftar Tanah: As a user, I can add new 'daftar tanah'","","0","0","5","0","0"
"","Tambah Stakeholder: As a user, I can't add stakeholder and fill name with symbol","","0","1","2","8","0"
"","","","7","0","0","0","0"
"","Delete Peta Rincik: As a user, I can Delete peta rincik when it has two or more image","","0","0","3","0","0"
"","Tambah Daftar Tanah: As a user, I can see list daftar tanah","","0","1","2","2","0"
"","Tambah Stakeholder: As a user, I can add stakeholder and fill mandatory form","","0","0","6","0","0"
"","Login Dashboard: As a user, I can log into dashboard","","0","0","3","0","0"
